旧等级ID,旧等级名称,对应组别ID,对应组别名称,对应新服务等级ID,对应新服务等级名称,对应新服务人返利系数
210522233,网信白泽_资金渠道_外部渠道（武汉）-2,362,网信白泽_资金渠道_外部渠道（武汉）,8,08,1
211603545,弘达财富_资金渠道_外部菁英（上海毅恭）-29,474,弘达财富_资金渠道_外部菁英（上海毅恭）,1,01,0
212661328,网信白泽_资金渠道_外部渠道（网推）-11,435,网信白泽_资金渠道_外部渠道（网推）,5,05,0.5
212661329,网信白泽_资金渠道_外部渠道（网推）-2,435,网信白泽_资金渠道_外部渠道（网推）,8,08,1
225194104,网信白泽_开放平台_CPA+CPS-3,462,网信白泽_开放平台_CPA+CPS,8,08,1
230453348,网信白泽_资金渠道_外部菁英-23,467,网信白泽_资金渠道_外部菁英,2,02,0.1
230453349,网信白泽_资金渠道_外部菁英-26,467,网信白泽_资金渠道_外部菁英,1,01,0
230453350,网信白泽_资金渠道_外部菁英-11,467,网信白泽_资金渠道_外部菁英,5,05,0.5
230453351,网信白泽_资金渠道_外部渠道（大连）-23,309,网信白泽_资金渠道_外部渠道（大连）,2,02,0.1
230455398,网信白泽_资金渠道_外部渠道（天津）-23,310,网信白泽_资金渠道_外部渠道（天津）,2,02,0.1
230460514,网信白泽_资金渠道_外部渠道（沈阳）-23,312,网信白泽_资金渠道_外部渠道（沈阳）,2,02,0.1
230464607,网信白泽_资金渠道_外部渠道（宁波）-23,313,网信白泽_资金渠道_外部渠道（宁波）,2,02,0.1
230465631,网信白泽_资金渠道_外部渠道（西安）-23,359,网信白泽_资金渠道_外部渠道（西安）,2,02,0.1
230466655,网信白泽_资金渠道_外部渠道（济南）-23,360,网信白泽_资金渠道_外部渠道（济南）,2,02,0.1
230468702,网信白泽_资金渠道_外部渠道（武汉）-23,362,网信白泽_资金渠道_外部渠道（武汉）,2,02,0.1
230476887,网信白泽_资金渠道_外部渠道（网推）-23,435,网信白泽_资金渠道_外部渠道（网推）,2,02,0.1
230477911,网信白泽_开放平台_CPA+CPS（大连）-33,381,网信白泽_开放平台_CPA+CPS（大连）,9,09,1.5
230478935,网信白泽_开放平台_CPA+CPS（大连）-11,381,网信白泽_开放平台_CPA+CPS（大连）,5,05,0.5
230479959,网信白泽_开放平台_CPA+CPS（大连）-2,381,网信白泽_开放平台_CPA+CPS（大连）,8,08,1
230480983,网信白泽_开放平台_CPA+CPS（二部2）-23,380,网信白泽_开放平台_CPA+CPS（二部2）,2,02,0.1
230483030,网信白泽_开放平台_CPA+CPS（二部2）-11,380,网信白泽_开放平台_CPA+CPS（二部2）,5,05,0.5
230483031,网信白泽_开放平台_CPA+CPS（二部2）-2,380,网信白泽_开放平台_CPA+CPS（二部2）,8,08,1
231055912,弘达财富_资金渠道_机构 -26,475,弘达财富_资金渠道_机构 ,1,01,0
231346445,网信白泽_开放平台_卓越恒信-26,472,网信白泽_开放平台_卓越恒信,1,01,0
233187846,网信白泽_开放平台_CPA+CPS（宁波）-3,363,网信白泽_开放平台_CPA+CPS（宁波）,8,08,1
233579688,盈华财富_资金渠道_外部菁英（拟入职专职）-01,172,盈华财富_资金渠道_外部菁英（拟入职专职）,8,08,1
235027234,网信白泽_开放平台_卓越恒信理财师-26,270,网信白泽_开放平台_卓越恒信理财师,1,01,0
236316215,网信白泽_开放平台_CPA+CPS（二部）-23,379,网信白泽_开放平台_CPA+CPS（二部）,2,02,0.1
236316216,网信白泽_开放平台_CPA+CPS（二部）-11,379,网信白泽_开放平台_CPA+CPS（二部）,5,05,0.5
236316217,网信白泽_开放平台_CPA+CPS（二部）-2,379,网信白泽_开放平台_CPA+CPS（二部）,8,08,1
238418483,-,无,无,1,01,0
238428714,财益通（哈哈农庄）_资金渠道_机构-26,111,财益通（哈哈农庄）_资金渠道_机构,1,01,0
238681396,网信理财_平台用户_大树网络邀请码户-27,476,网信理财_平台用户_大树网络邀请码户,1,01,0
238697765,网信白泽_资金渠道_外部菁英（大连）-23,262,网信白泽_资金渠道_外部菁英（大连）,2,02,0.1
238697766,网信白泽_资金渠道_外部菁英（大连）-2,262,网信白泽_资金渠道_外部菁英（大连）,8,08,1
238698790,网信白泽_资金渠道_外部菁英（大连）-11,262,网信白泽_资金渠道_外部菁英（大连）,5,05,0.5
238779608,网信白泽_资金渠道_外部菁英（天津）-11,433,网信白泽_资金渠道_外部菁英（天津）,5,05,0.5
238794954,网信白泽_资金渠道_外部菁英（天津）-2,433,网信白泽_资金渠道_外部菁英（天津）,8,08,1
238804162,网信白泽_资金渠道_外部菁英（天津）-23,433,网信白泽_资金渠道_外部菁英（天津）,2,02,0.1
238814393,网信白泽_资金渠道_外部菁英（宁波）-11,101,网信白泽_资金渠道_外部菁英（宁波）,5,05,0.5
238821555,网信白泽_资金渠道_外部菁英（宁波）-23,101,网信白泽_资金渠道_外部菁英（宁波）,2,02,0.1
238826671,网信白泽_资金渠道_外部菁英（宁波）-26,101,网信白泽_资金渠道_外部菁英（宁波）,1,01,0
238831787,网信白泽_资金渠道_外部菁英（济南）-23,15,网信白泽_资金渠道_外部菁英（济南）,2,02,0.1
238842018,网信白泽_资金渠道_外部菁英（武汉）-11,7,网信白泽_资金渠道_外部菁英（武汉）,5,05,0.5
238842019,网信白泽_资金渠道_外部菁英（武汉）-2,7,网信白泽_资金渠道_外部菁英（武汉）,8,08,1
238842020,网信白泽_资金渠道_外部菁英（武汉）-26,7,网信白泽_资金渠道_外部菁英（武汉）,1,01,0
238843044,网信白泽_资金渠道_外部菁英（西安）-11,68,网信白泽_资金渠道_外部菁英（西安）,5,05,0.5
238843045,网信白泽_资金渠道_外部菁英（西安）-23,68,网信白泽_资金渠道_外部菁英（西安）,2,02,0.1
238844069,网信白泽_资金渠道_外部菁英（西安）-26,68,网信白泽_资金渠道_外部菁英（西安）,1,01,0
241650159,网信白泽_开放平台_卓越恒信（推荐CPA机构）-27,477,网信白泽_开放平台_卓越恒信（推荐CPA机构）,1,01,0
243351409,网信理财_平台用户_悠融资产邀请码户-27,478,网信理财_平台用户_悠融资产邀请码户,1,01,0
246972830,网信白泽_开放平台_卓越恒信-2,472,网信白泽_开放平台_卓越恒信,8,08,1
250109350,盈华财富_资金渠道_普通员工（移民公司）-2,479,盈华财富_资金渠道_普通员工（移民公司）,8,08,1
252796772,网信白泽_资金渠道_外部渠道（网推-返利平台）-23,376,网信白泽_资金渠道_外部渠道（网推-返利平台）,2,02,0.1
252797796,网信白泽_资金渠道_外部渠道（网推-返利平台）-11,376,网信白泽_资金渠道_外部渠道（网推-返利平台）,5,05,0.5
252797797,网信白泽_资金渠道_外部渠道（网推-返利平台）-2,376,网信白泽_资金渠道_外部渠道（网推-返利平台）,8,08,1
263166926,渠道运营部_普通资金渠道_外部菁英（拟入职）-22,17,渠道运营部_普通资金渠道_外部菁英（拟入职）,2,02,0.1
263893257,渠道运营部_普通资金渠道_外部菁英-27,299,渠道运营部_普通资金渠道_外部菁英,1,01,0
265802176,网信白泽_资金渠道_外部渠道（其他城市-存量）-11,378,网信白泽_资金渠道_外部渠道（其他城市-存量）,5,05,0.5
265802177,网信白泽_资金渠道_外部渠道（其他城市-存量）-23,378,网信白泽_资金渠道_外部渠道（其他城市-存量）,2,02,0.1
265809339,网信白泽_资金渠道_外部渠道（其他城市-存量）-02,378,网信白泽_资金渠道_外部渠道（其他城市-存量）,8,08,1
265809340,网信白泽_市场活动_网推（返利平台-存量）-11,441,网信白泽_市场活动_网推（返利平台-存量）,5,05,0.5
265809341,网信白泽_市场活动_网推（返利平台-存量）-23,441,网信白泽_市场活动_网推（返利平台-存量）,2,02,0.1
265815480,网信白泽_市场活动_网推（返利平台-存量）-2,441,网信白泽_市场活动_网推（返利平台-存量）,8,08,1
265819573,网信白泽_市场活动_网推（网推-存量）-11,442,网信白泽_市场活动_网推（网推-存量）,5,05,0.5
265819574,网信白泽_市场活动_网推（网推-存量）-23,442,网信白泽_市场活动_网推（网推-存量）,2,02,0.1
265820598,网信白泽_市场活动_网推（网推-存量）-02,442,网信白泽_市场活动_网推（网推-存量）,8,08,1
265841059,网信白泽_资金渠道_商户邀请人-27,452,网信白泽_资金渠道_商户邀请人,1,01,0
268944842,粤港贷_资金渠道_机构-27,396,粤港贷_资金渠道_机构,1,01,0
270862968,网信白泽_开放平台_CPS（二部）-33,180,网信白泽_开放平台_CPS（二部）,9,09,1.5
270862969,网信白泽_开放平台_CPS（二部）-1,180,网信白泽_开放平台_CPS（二部）,10,10,2
270862970,网信白泽_开放平台_CPS（二部）-27,180,网信白泽_开放平台_CPS（二部）,1,01,0
270909006,网信白泽_开放平台_外部渠道（一部-存量）-22,430,网信白泽_开放平台_外部渠道（一部-存量）,2,02,0.1
271431760,网信白泽_开放平台_CPA+CPS（西安）-33,311,网信白泽_开放平台_CPA+CPS（西安）,9,09,1.5
271431761,网信白泽_开放平台_CPA+CPS（济南）-33,377,网信白泽_开放平台_CPA+CPS（济南）,9,09,1.5
271431762,网信白泽_开放平台_CPA+CPS（武汉）-33,419,网信白泽_开放平台_CPA+CPS（武汉）,9,09,1.5
273378532,网信白泽_开放平台_CPS-3,459,网信白泽_开放平台_CPS,8,08,1
273382625,网信白泽_开放平台_CPS-33,459,网信白泽_开放平台_CPS,9,09,1.5
278277681,盈华财富_资金渠道_机构（用户分配）-29,480,盈华财富_资金渠道_机构（用户分配）,1,01,0
278284843,联合财富_资金渠道_机构（用户分配）-29,481,联合财富_资金渠道_机构（用户分配）,1,01,0
