借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
消费贷A007375073,100476865,6854,169.05,1.79
消费贷A007375384,100494731,6854,252.67,3.57
消费贷A007378820,100708924,6854,19.43,0.14
消费贷A005458403,73194717,6861,60.23,1.3
消费贷A007376889,100582162,6867,3356.82,59.63
消费贷A007378648,100698782,6867,67.15,1.17
消费贷A007379240,100730819,6867,16.99,0.12
消费贷A007380390,100788841,6867,16.99,0.12
消费贷A007381889,100854310,6867,11.94,0.25
消费贷A005438924,73029263,6874,60.03,2.58
消费贷A005509932,73671559,6938,46.52,1.47
消费贷A005431987,72955398,7026,9.36,0.12
消费贷A004203636,70973635,7116,246.54,4.74
消费贷A007354203,99514578,7132,17.01,0.12
消费贷A007355894,99603685,7132,17.01,0.12
消费贷A007357408,99670029,7132,84.93,0.63
消费贷A007360813,99795482,7132,33.86,0.37
消费贷A007361047,99807028,7132,17.01,0.12
消费贷A007361090,99808662,7132,169.19,1.89
消费贷A007366117,100042422,7132,25.95,0.39
消费贷A007367788,100115410,7132,33.86,0.37
消费贷A007368294,100154185,7132,50.55,0.7
消费贷A007368284,100155142,7132,34.38,0.62
消费贷A007368591,100164554,7132,34.38,0.62
消费贷A007370627,100259957,7132,33.83,0.35
消费贷A007377861,100645157,7132,67.15,1.17
消费贷A007378442,100684512,7132,60.43,1.05
消费贷A004239026,71025760,7242,62.61,1.2
消费贷A005317332,72548697,7252,341.52,9.86
消费贷A007384044,100984697,7311,33.96,0.24
消费贷A005527963,73862101,7343,6.05,0.04
消费贷A004261886,71059091,7356,1378.79,26.5
消费贷A004532359,71427143,7356,1108.13,26.65
消费贷A004532727,71427144,7356,205.18,4.94
消费贷A005545356,74341655,7418,56.93,3.64
消费贷A005426185,72897634,7421,92.90,0.88
消费贷A005521138,73768555,7421,29.88,0.24
消费贷A007335925,98889364,7421,98.75,2.35
消费贷A007352748,99416079,7424,90.81,0.71
消费贷A007383924,100983260,7431,16.99,0.12
消费贷A005408898,72754172,7452,4171.48,120.67
消费贷A005454613,73164580,7454,128.00,2.22
消费贷A004238288,71023689,7457,2489.88,47.87
消费贷A007368395,100157750,7480,50.55,0.7
消费贷A007372187,100330092,7480,16.99,0.12
消费贷A007372789,100364728,7480,16.99,0.12
消费贷A007378820,100708968,7480,16.99,0.12
消费贷A007379137,100726273,7480,67.15,1.17
消费贷A007379382,100736552,7480,16.99,0.12
消费贷A007380916,100811299,7480,83.63,1.76
消费贷A005471251,73298184,7494,18.25,0.38
消费贷A005446478,73102141,7535,296.08,5.18
消费贷A005460062,73203654,7538,115.29,2.5
消费贷A007342358,99091161,7538,8.76,0.06
消费贷A007380929,100810843,7538,33.83,0.35
消费贷A007375339,100493548,7584,67.15,1.17
消费贷A005433921,72974780,7592,104.07,3.98
消费贷A005372343,72637962,7611,95.20,2.73
消费贷A005372346,72638091,7611,94.36,2.7
消费贷A005428765,72916320,7616,2284.99,66.09
消费贷A007372045,100320804,7617,34.38,0.62
消费贷A007380448,100794030,7617,903.44,16.04
消费贷A004366155,71202341,7630,100.37,1.92
消费贷A004546380,71448774,7712,316.18,7.6
消费贷A005432336,72958270,7725,9.36,0.12
消费贷A005453204,73159646,7814,13.96,0.24
消费贷A004366510,71206123,7937,98.30,1.89
消费贷A005417189,72830953,8015,17.33,0.16
消费贷A004309811,71131205,8054,21.29,0.2
消费贷A005215650,72347200,8054,13.91,0.25
消费贷A005428236,72912609,8054,20.78,0.19
消费贷A005490915,73469858,8054,42.76,1.11
消费贷A007363241,99921020,8061,17.01,0.12
消费贷A007365818,100026802,8061,33.86,0.37
消费贷A007371578,100299802,8061,33.83,0.35
消费贷A007376059,100539121,8061,67.15,1.17
消费贷A007378146,100661027,8061,33.83,0.35
消费贷A007379555,100747914,8061,50.55,0.7
消费贷A007381197,100826176,8061,16.99,0.12
消费贷A007381548,100838313,8061,16.99,0.12
消费贷A005430643,72939153,8085,43.73,1.66
消费贷A007352930,99420145,8121,87.04,0.68
消费贷A005437672,73016526,8223,81.30,1.16
消费贷A005440756,73046479,8223,249.96,4.79
消费贷A005456586,73177105,8223,137.54,2.4
消费贷A005431721,72951717,8239,298.90,2.61
消费贷A005471338,73298898,8264,287.34,6.29
消费贷A005471339,73298899,8264,79.55,1.74
消费贷A005410861,72773476,8339,3714.00,107.44
消费贷A007348966,99296218,8348,1485.48,11.76
消费贷A005409917,72763818,8360,1104.57,31.95
消费贷A005424711,72885346,8390,4.98,0.04
消费贷A005424716,72885352,8390,92.90,0.88
消费贷A005417828,72835877,8393,20.33,0.19
消费贷A005418798,72840918,8393,5.30,0.04
消费贷A005418804,72840920,8393,8.26,0.07
消费贷A005421958,72865138,8393,7.32,0.06
消费贷A005424220,72881072,8393,9.62,0.09
消费贷A005427297,72904704,8393,42.82,1.4
消费贷A005427563,72906649,8393,6.14,0.05
消费贷A005430322,72935214,8393,150.07,5.77
消费贷A004806861,71805219,8485,25.77,0.62
消费贷A004263298,71064574,8499,29.00,0.54
消费贷A004348883,71184356,8546,49.79,0.94
消费贷A004346233,71184360,8546,45.26,0.85
消费贷A004711797,71668111,8546,65.20,1.55
消费贷A005429591,72927174,8546,23.88,0.22
消费贷A005490936,73469967,8546,52.51,1.35
消费贷A005428953,72917903,8560,5.20,0.04
消费贷A005231358,72380733,8571,183.22,4.39
消费贷A005429469,72926212,8571,92.90,0.88
消费贷A005429469,72926232,8571,8.49,0.08
消费贷A005430930,72942998,8571,974.24,14.01
消费贷A005433704,72973086,8571,378.74,5.44
消费贷A005458734,73197644,8571,207.38,4.53
消费贷A005471300,73298579,8571,78.52,1.7
消费贷A005474719,73328783,8571,12.95,0.28
消费贷A005531304,73926763,8575,103.56,3.78
消费贷A005409272,72756907,8613,23.08,0.64
消费贷A005410863,72773494,8625,558.21,16.14
消费贷A007354315,99518137,8703,856.43,20.41
消费贷A007366108,100042060,8703,2589.46,41.09
消费贷A007366150,100044596,8703,5178.85,82.2
消费贷A007366150,100044609,8703,1294.74,20.54
消费贷A007367481,100102717,8703,1294.74,20.54
消费贷A007367538,100103346,8703,1803.06,28.61
消费贷A007366521,100067829,8876,338.35,3.8
消费贷A005527973,73863797,9060,6.05,0.04
消费贷A005429910,72930775,9116,9.36,0.12
消费贷A005511451,73684874,9225,2526.53,81.67
消费贷A005471255,73298254,9244,245.03,5.36
消费贷A005429410,72925742,9247,4.77,0.04
消费贷A007371713,100302546,9304,1844.11,69.84
消费贷A007374789,100460389,9335,67.64,0.71
消费贷A004123404,70860334,9343,372.32,7.15
消费贷A004179015,70954542,9432,163.71,3.15
消费贷A005441892,73058028,9542,21.38,0.39
消费贷A005449740,73127058,9542,75.09,1.3
消费贷A005432835,72964419,9610,461.86,6.64
消费贷A005411812,72785589,9634,1102.07,37.23
消费贷A007354521,99522628,9713,17.39,0.19
消费贷A007368643,100164434,9713,67.68,2.26
消费贷A007370619,100259925,9713,50.55,0.7
消费贷A007377131,100593286,9713,16.99,0.12
消费贷A007377198,100605298,9713,16.99,0.12
消费贷A007378120,100662345,9713,50.55,0.7
消费贷A007379240,100730797,9713,16.99,0.12
消费贷A007379874,100762560,9713,33.83,0.35
消费贷A005471419,73299905,9906,171.48,3.73
消费贷A005491659,73476585,9926,2142.39,56.55
消费贷A005485919,73425825,9928,45.27,1.17
消费贷A007372795,100365389,9928,34.38,0.62
消费贷A007373877,100417259,9947,249.97,5.63
消费贷A007376218,100549342,9947,565.30,12.76
消费贷A007380800,100805019,9947,693.62,18.29
消费贷A005304697,72513773,9950,159.23,4.58
消费贷A004056742,70773910,9960,1315.47,25.29
消费贷A005434616,72981511,10165,18.84,0.26
消费贷A005448103,73113604,10195,544.64,11.94
消费贷A005447861,73113605,10195,99.75,3.96
消费贷A005435246,72989045,10239,205.92,1.8
消费贷A007336812,98915353,10318,436.89,3.46
消费贷A004169864,70943399,10400,344.80,6.62
消费贷A004032324,70738853,10472,551.59,10.59
消费贷A004935697,71960333,10472,2076.24,51.29
消费贷A005531748,73935954,10583,31.55,1.12
消费贷A007383163,100914424,10727,2072.94,44.25
消费贷A007382922,100902988,10900,401.00,8.54
消费贷A007384010,100984618,10900,212.83,3.76
消费贷A005482342,73390363,10964,1998.53,88.41
消费贷A007361090,99808773,10964,507.51,5.71
消费贷A007374474,100446899,10964,516.35,9.17
消费贷A005417596,72834595,10984,69.71,0.66
消费贷A005430185,72933800,10984,631.42,24.41
消费贷A005432147,72956708,10984,50.71,1.96
消费贷A007371187,100278181,11003,50.55,0.7
消费贷A007378820,100708947,11003,16.99,0.12
消费贷A007379137,100726153,11003,67.15,1.17
消费贷A007380489,100795141,11003,1254.40,26.76
消费贷A007381538,100836959,11003,49.85,0.87
消费贷A007373791,100414108,11037,67.15,1.17
消费贷A007377001,100590786,11037,67.15,1.17
消费贷A007379240,100730788,11037,16.99,0.12
消费贷A005472440,73309979,11144,182.30,3.99
消费贷A005476837,73353312,11144,453.29,20.02
消费贷A005486811,73433494,11144,240.93,5.02
消费贷A005510233,73675315,11144,491.95,27.41
消费贷A005526191,73829876,11144,63.18,3.82
消费贷A007380842,100810748,11157,33.83,0.35
消费贷A005205904,72338620,11275,50.50,0.72
