借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
消费贷A007380227,100778808,4505851,4752.96,125.53
消费贷A005271775,72473502,1513486,2200.87,63.67
消费贷A007348746,99291998,10723026,261.03,2.06
消费贷A007365396,100001505,10723026,37.92,0.42
消费贷A007366574,100069327,10723026,33.86,0.37
消费贷A007367530,100109089,10723026,33.86,0.37
消费贷A007368491,100161257,10723026,16.99,0.12
消费贷A007371415,100291254,10723026,33.83,0.35
消费贷A007373750,100410655,10723026,50.55,0.7
消费贷A007373949,100424294,10723026,33.83,0.35
消费贷A007375323,100493327,10723026,16.99,0.12
消费贷A007376426,100560923,10723026,67.15,1.17
消费贷A007377523,100623745,10723026,36.38,0.63
消费贷A005353131,72597686,74498,118.79,3.41
消费贷A005435451,72991907,74498,36.84,0.32
消费贷A005476639,73349242,74498,147.15,3.21
消费贷A005193522,72313007,6913921,183.08,4.39
消费贷A005425468,72890259,6913921,27.29,0.89
消费贷A005481167,73388122,6913921,38.34,0.98
消费贷A005486923,73434590,6913921,76.99,2.67
消费贷A005488094,73452122,6913921,102.90,4.94
消费贷A005490126,73465037,6913921,37.96,1.14
消费贷A005494182,73514960,6913921,39.03,1
消费贷A005501811,73577778,6913921,115.31,3.7
消费贷A005510814,73679649,6913921,33.68,1.05
消费贷A005512011,73693812,6913921,78.10,3.22
消费贷A005516186,73736393,6913921,102.69,5.66
消费贷A005519185,73759311,6913921,43.09,1.36
消费贷A005524978,73814177,6913921,67.48,4
消费贷A005526375,73831512,6913921,52.80,3.12
消费贷A007331996,98775266,6913921,142.62,3.37
消费贷A007337126,98925263,6913921,256.95,6.11
消费贷A007337126,98925276,6913921,856.43,20.41
消费贷A007342855,99102669,6913921,8.76,0.06
消费贷A007342855,99102689,6913921,4.01,0.03
消费贷A005250599,72430447,3204070,227.73,6.57
消费贷A005424810,72885879,3204070,102.63,0.98
消费贷A005496001,73527187,3204070,832.16,40.52
消费贷A005325178,72554552,9151909,2276.23,65.84
消费贷A005372327,72637868,9151909,2276.23,65.84
消费贷A005415545,72816001,9151909,92.90,0.88
消费贷A005443514,73073503,9151909,10.98,0.19
消费贷A005528041,73873463,4940472,255.50,15.39
消费贷A005531871,73938103,4940472,400.81,24.24
消费贷A005232432,72399156,7520805,46.54,0.44
消费贷A005407836,72747873,7520805,22.87,0.63
消费贷A005412106,72789298,7520805,543.79,18.36
消费贷A005416044,72821246,7520805,543.79,18.36
消费贷A005420192,72852782,7520805,543.79,18.36
消费贷A005421372,72862414,7520805,92.90,0.88
消费贷A005424105,72882197,7520805,543.79,18.36
消费贷A005428481,72914218,7520805,5437.12,183.79
消费贷A005430417,72936458,7520805,554.20,7.97
消费贷A005435369,72991124,7520805,738.91,10.63
消费贷A005435413,72991533,7520805,184.81,2.65
消费贷A005436579,73001547,7520805,1777.64,25.59
消费贷A007359017,99734657,2386743,17.01,0.12
消费贷A007362560,99882503,2386743,33.86,0.37
消费贷A007362768,99894504,2386743,33.86,0.37
消费贷A007363090,99914771,2386743,33.86,0.37
消费贷A007368276,100154883,2386743,33.83,0.35
消费贷A007374436,100445583,2386743,67.15,1.17
消费贷A007381311,100831532,2386743,83.63,1.76
消费贷A007382432,100888708,2386743,2410.80,63.65
消费贷A005416542,72825283,7141690,92.90,0.88
消费贷A007354869,99542769,7141690,17.01,0.12
消费贷A007358598,99715725,7141690,17.01,0.12
消费贷A007362273,99866465,7141690,33.86,0.37
消费贷A007362490,99878072,7141690,33.86,0.37
消费贷A007365396,100001452,7141690,33.86,0.37
消费贷A007368103,100144652,7141690,34.38,0.62
消费贷A007368510,100161137,7141690,50.55,0.7
消费贷A007369042,100182506,7141690,33.83,0.35
消费贷A007369357,100197337,7141690,6.07,0.06
消费贷A005504410,73599822,10832721,948.20,30.63
消费贷A005521138,73768505,10832721,9.00,0.07
消费贷A007311330,98325391,10832721,25.95,0.39
消费贷A007313661,98396629,10832721,343.94,6.81
